Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
7/31/2023,104,73,88.5,2.9,0,24,0,0,0
7/30/2023,102,73,87.5,1.9,0,23,0,0,0
7/29/2023,101,70,85.5,0,0,21,0,0,0
7/28/2023,99,71,85,-0.5,0,20,0,0,M
7/27/2023,99,72,85.5,0.1,0,21,0,0,M
7/26/2023,101,80,90.5,4.9,0,26,0,0,0
7/25/2023,100,78,89,3.4,0,24,0,0,0
7/24/2023,101,74,87.5,2,0,23,0,0,0
7/23/2023,99,77,88,2.6,0,23,0.04,0,0
7/22/2023,104,78,91,5.7,0,26,0,0,0
7/21/2023,102,77,89.5,4.3,0,25,0,0,0
7/20/2023,103,78,90.5,5.4,0,26,0,0,0
7/19/2023,104,78,91,6,0,26,0,0,0
7/18/2023,104,78,91,6.1,0,26,0,0,0
7/17/2023,104,77,90.5,5.7,0,26,0,0,0
7/16/2023,103,78,90.5,5.8,0,26,0,0,0
7/15/2023,104,79,91.5,6.8,0,27,0,0,0
7/14/2023,105,80,92.5,7.9,0,28,0,0,0
7/13/2023,106,80,93,8.5,0,28,0,0,0
7/12/2023,105,80,92.5,8.1,0,28,0,0,0
7/11/2023,103,79,91,6.7,0,26,0,0,0
7/10/2023,103,79,91,6.7,0,26,0,0,0
7/9/2023,101,78,89.5,5.3,0,25,0,0,0
7/8/2023,100,78,89,4.9,0,24,0,0,0
7/7/2023,92,76,84,-0.1,0,19,0.01,0,0
7/6/2023,91,78,84.5,0.5,0,20,T,0,0
7/5/2023,95,79,87,3.1,0,22,0.12,0,0
7/4/2023,97,78,87.5,3.6,0,23,0,0,0
7/3/2023,96,79,87.5,3.7,0,23,0,0,0
7/2/2023,97,76,86.5,2.7,0,22,T,0,0
7/1/2023,100,79,89.5,5.8,0,25,T,0,0
6/30/2023,100,79,89.5,5.8,0,25,0,0,M
6/29/2023,99,77,88,4.4,0,23,0,0,0
6/28/2023,102,76,89,5.4,0,24,0,0,0
6/27/2023,104,78,91,7.5,0,26,0,0,0
6/26/2023,104,78,91,7.5,0,26,0,0,0
6/25/2023,102,79,90.5,7.1,0,26,0,0,0
6/24/2023,102,77,89.5,6.1,0,25,0,0,0
6/23/2023,102,75,88.5,5.2,0,24,0,0,0
6/22/2023,95,74,84.5,1.2,0,20,0.05,0,0
6/21/2023,105,78,91.5,8.3,0,27,M,0,0
6/20/2023,105,78,91.5,8.4,0,27,0,0,0
6/19/2023,105,78,91.5,8.4,0,27,0,0,0
6/18/2023,103,79,91,8,0,26,0,0,0
6/17/2023,96,80,88,5.1,0,23,0,0,0
6/16/2023,101,80,90.5,7.7,0,26,0,0,0
6/15/2023,99,80,89.5,6.8,0,25,0,0,0
6/14/2023,93,80,86.5,3.9,0,22,0,0,0
6/13/2023,95,78,86.5,4,0,22,0,0,0
6/12/2023,97,77,87,4.6,0,22,0,0,0
6/11/2023,98,77,87.5,5.2,0,23,0,0,0
6/10/2023,96,76,86,3.8,0,21,0,0,0
6/9/2023,98,72,85,3,0,20,0,0,0
6/8/2023,91,72,81.5,-0.4,0,17,T,0,0
6/7/2023,88,68,78,-3.7,0,13,0,0,0
6/6/2023,87,66,76.5,-5.1,0,12,0.17,0,0
6/5/2023,90,67,78.5,-2.9,0,14,0.08,0,0
6/4/2023,83,70,76.5,-4.7,0,12,0.12,0,0
6/3/2023,88,64,76,-5,0,11,0.08,0,0
6/2/2023,90,66,78,-2.8,0,13,0.41,0,0
6/1/2023,90,72,81,0.4,0,16,T,0,0
5/31/2023,88,67,77.5,-2.9,0,13,0,0,0
5/30/2023,88,63,75.5,-4.7,0,11,0,0,0
5/29/2023,87,66,76.5,-3.4,0,12,0.3,0,0
5/28/2023,85,70,77.5,-2.2,0,13,0,0,0
5/27/2023,85,69,77,-2.4,0,12,0,0,0
5/26/2023,86,71,78.5,-0.7,0,14,0,0,0
5/25/2023,85,69,77,-1.9,0,12,0,0,0
5/24/2023,88,65,76.5,-2.2,0,12,0.23,0,0
5/23/2023,89,69,79,0.6,0,14,0,0,0
5/22/2023,85,63,74,-4.2,0,9,0,0,0
5/21/2023,73,66,69.5,-8.4,0,5,0.17,0,0
5/20/2023,81,67,74,-3.6,0,9,0.31,0,0
5/19/2023,89,71,80,2.7,0,15,T,0,0
5/18/2023,88,65,76.5,-0.6,0,12,0,0,0
5/17/2023,88,63,75.5,-1.3,0,11,0,0,0
5/16/2023,87,66,76.5,0,0,12,0.07,0,0
5/15/2023,81,68,74.5,-1.7,0,10,0.06,0,0
5/14/2023,87,64,75.5,-0.4,0,11,0,0,0
5/13/2023,78,64,71,-4.7,0,6,2.31,0,0
5/12/2023,87,75,81,5.6,0,16,T,0,0
5/11/2023,89,73,81,5.9,0,16,0,0,0
5/10/2023,83,68,75.5,0.6,0,11,T,0,0
5/9/2023,75,65,70,-4.6,0,5,0.37,0,0
5/8/2023,91,70,80.5,6.2,0,16,0,0,0
5/7/2023,82,72,77,2.9,0,12,0.04,0,0
5/6/2023,88,69,78.5,4.7,0,14,0.06,0,0
5/5/2023,94,72,83,9.5,0,18,T,0,0
5/4/2023,85,68,76.5,3.2,0,12,T,0,0
5/3/2023,84,65,74.5,1.4,0,10,0,0,0
5/2/2023,80,67,73.5,0.7,0,9,T,0,0
5/1/2023,83,58,70.5,-2.1,0,6,0,0,0
4/30/2023,87,50,68.5,-3.8,0,4,0,0,0
4/29/2023,78,52,65,-7.1,0,0,0,0,0
4/28/2023,86,58,72,0.1,0,7,0.75,T,0
4/27/2023,84,62,73,1.3,0,8,0.13,0,0
4/26/2023,85,69,77,5.6,0,12,0.01,0,0
4/25/2023,79,62,70.5,-0.7,0,6,T,0,0
4/24/2023,70,54,62,-9,3,0,T,0,0
4/23/2023,68,53,60.5,-10.3,4,0,0.44,0,0
4/22/2023,79,58,68.5,-2.1,0,4,T,0,0
4/21/2023,82,62,72,1.6,0,7,0.48,0,0
4/20/2023,88,65,76.5,6.3,0,12,1.09,0,0
4/19/2023,81,69,75,5,0,10,0.01,0,0
4/18/2023,80,66,73,3.2,0,8,T,0,0
4/17/2023,80,50,65,-4.6,0,0,0,0,0
4/16/2023,78,58,68,-1.4,0,3,0,0,0
4/15/2023,93,61,77,7.8,0,12,0.21,0,0
4/14/2023,82,62,72,3,0,7,T,0,0
4/13/2023,80,54,67,-1.8,0,2,0,0,0
4/12/2023,79,51,65,-3.7,0,0,0,0,0
4/11/2023,77,56,66.5,-2,0,2,0,0,0
4/10/2023,74,59,66.5,-1.8,0,2,T,0,0
4/9/2023,70,56,63,-5.1,2,0,0,0,0
4/8/2023,75,53,64,-3.9,1,0,T,0,0
4/7/2023,55,51,53,-14.7,12,0,0.5,0,0
4/6/2023,65,50,57.5,-10,7,0,1.13,0,0
4/5/2023,78,63,70.5,3.2,0,6,T,0,0
4/4/2023,87,71,79,11.9,0,14,T,0,0
4/3/2023,92,69,80.5,13.6,0,16,0,0,0
4/2/2023,89,66,77.5,10.8,0,13,T,0,0
4/1/2023,87,54,70.5,4,0,6,0,0,0
3/31/2023,87,66,76.5,10.3,0,12,0,0,0
3/30/2023,79,60,69.5,3.5,0,5,0.11,0,0
3/29/2023,65,53,59,-6.8,6,0,T,0,0
3/28/2023,73,54,63.5,-2.1,1,0,0.01,0,0
3/27/2023,81,64,72.5,7.1,0,8,0,0,0
3/26/2023,85,52,68.5,3.4,0,4,0,0,0
3/25/2023,83,50,66.5,1.6,0,2,0,0,0
3/24/2023,89,56,72.5,7.8,0,8,0.07,0,0
3/23/2023,83,70,76.5,12,0,12,0,0,0
3/22/2023,80,68,74,9.8,0,9,T,0,0
3/21/2023,72,53,62.5,-1.5,2,0,0.21,0,0
3/20/2023,56,43,49.5,-14.3,15,0,0.02,0,0
3/19/2023,59,43,51,-12.5,14,0,0,0,0
3/18/2023,50,40,45,-18.3,20,0,0.31,0,0
3/17/2023,60,43,51.5,-11.6,13,0,0.16,0,0
3/16/2023,84,54,69,6.2,0,4,0.26,0,0
3/15/2023,72,55,63.5,0.9,1,0,0,0,0
3/14/2023,70,49,59.5,-2.8,5,0,0,0,0
3/13/2023,70,54,62,-0.1,3,0,0,0,0
3/12/2023,85,61,73,11.1,0,8,0,0,0
3/11/2023,92,63,77.5,15.9,0,13,0,0,0
3/10/2023,78,59,68.5,7.1,0,4,T,0,0
3/9/2023,85,68,76.5,15.3,0,12,0,0,0
3/8/2023,85,66,75.5,14.6,0,11,0,0,0
3/7/2023,81,63,72,11.3,0,7,T,0,0
3/6/2023,82,63,72.5,12.1,0,8,T,0,0
3/5/2023,80,49,64.5,4.3,0,0,0,0,0
3/4/2023,81,44,62.5,2.5,2,0,0,0,0
3/3/2023,78,49,63.5,3.7,1,0,0,0,0
3/2/2023,84,56,70,10.5,0,5,0.16,0,0
3/1/2023,88,71,79.5,20.2,0,15,T,0,0
2/28/2023,84,53,68.5,9.4,0,4,0,0,0
2/27/2023,87,58,72.5,13.6,0,8,0,0,0
2/26/2023,81,64,72.5,13.9,0,8,T,0,0
2/25/2023,70,50,60,1.6,5,0,0,0,0
2/24/2023,63,54,58.5,0.3,6,0,T,0,0
2/23/2023,80,62,71,13,0,6,T,0,0
2/22/2023,89,68,78.5,20.7,0,14,T,0,0
2/21/2023,85,57,71,13.4,0,6,0,0,0
2/20/2023,79,55,67,9.7,0,2,T,0,0
2/19/2023,74,43,58.5,1.4,6,0,0,0,0
2/18/2023,56,35,45.5,-11.4,19,0,0,0,0
2/17/2023,56,35,45.5,-11.2,19,0,0,0,0
2/16/2023,71,42,56.5,0,8,0,T,0,0
2/15/2023,81,47,64,7.7,1,0,T,0,0
2/14/2023,80,50,65,8.9,0,0,T,0,0
2/13/2023,72,42,57,1.1,8,0,T,0,0
2/12/2023,63,33,48,-7.7,17,0,0,0,0
2/11/2023,62,32,47,-8.6,18,0,0,0,0
2/10/2023,57,37,47,-8.4,18,0,0,0,0
2/9/2023,71,37,54,-1.2,11,0,0,0,0
2/8/2023,66,43,54.5,-0.5,10,0,0.27,0,0
2/7/2023,72,53,62.5,7.7,2,0,0.26,0,0
2/6/2023,76,57,66.5,11.9,0,2,0,0,0
2/5/2023,73,40,56.5,2,8,0,0,0,0
2/4/2023,62,37,49.5,-4.8,15,0,0,0,0
2/3/2023,58,33,45.5,-8.6,19,0,0,0,0
2/2/2023,45,34,39.5,-14.5,25,0,0.03,0,0
2/1/2023,35,31,33,-20.8,32,0,0.61,0,0
1/31/2023,35,31,33,-20.6,32,0,0.03,0,0
1/30/2023,46,33,39.5,-14,25,0,0.02,0,0
1/29/2023,77,46,61.5,8.2,3,0,T,0,0
1/28/2023,59,48,53.5,0.3,11,0,0.11,0,0
1/27/2023,56,35,45.5,-7.5,19,0,0.03,0,0
1/26/2023,58,34,46,-6.9,19,0,0,0,0
1/25/2023,60,35,47.5,-5.3,17,0,0,0,0
1/24/2023,61,45,53,0.4,12,0,0.49,0,0
1/23/2023,59,37,48,-4.5,17,0,0,0,0
1/22/2023,66,42,54,1.6,11,0,0,0,0
1/21/2023,66,46,56,3.7,9,0,T,0,0
1/20/2023,61,54,57.5,5.3,7,0,T,0,0
1/19/2023,71,47,59,6.9,6,0,0,0,0
1/18/2023,79,55,67,15,0,2,T,0,0
1/17/2023,79,50,64.5,12.6,0,0,0,0,0
1/16/2023,76,55,65.5,13.6,0,1,0,0,0
